iter	Passed	Remaining
0	1	1121
1	2	1191
2	3	1149
3	4	1144
4	5	1191
5	7	1265
6	8	1268
7	10	1249
8	12	1347
9	17	1740
10	19	1768
11	21	1766
12	23	1793
13	25	1806
14	29	1914
15	32	1978
16	33	1940
17	35	1941
18	37	1949
19	39	1929
20	41	1952
21	43	1928
22	44	1897
23	46	1910
24	48	1908
25	50	1895
26	52	1876
27	54	1883
28	56	1903
29	58	1877
30	59	1852
31	60	1830
32	61	1809
33	62	1781
34	64	1766
35	65	1747
36	66	1732
37	67	1713
38	69	1700
39	73	1772
40	75	1768
41	77	1762
42	79	1770
43	81	1768
44	82	1757
45	83	1739
46	84	1719
47	86	1711
48	87	1699
49	88	1682
50	89	1667
51	90	1656
52	92	1648
53	93	1637
54	94	1629
55	96	1620
56	97	1606
57	98	1602
58	99	1594
59	101	1586
60	102	1574
61	103	1563
62	104	1556
63	106	1550
64	107	1542
65	108	1535
66	109	1527
67	110	1512
68	111	1502
69	112	1492
70	115	1515
71	118	1526
72	120	1529
73	122	1529
74	123	1523
75	124	1512
76	125	1502
77	126	1493
78	127	1486
79	128	1478
80	129	1474
81	131	1467
82	132	1460
83	133	1454
84	134	1443
85	135	1435
86	135	1425
87	136	1417
88	137	1411
89	139	1409
90	140	1402
91	142	1402
92	144	1405
93	146	1407
94	147	1401
95	148	1396
96	149	1394
97	150	1387
98	151	1380
99	152	1374
100	154	1371
101	154	1362
102	156	1359
103	157	1355
104	158	1348
105	159	1343
106	160	1338
107	161	1333
108	162	1330
109	163	1326
110	164	1321
111	166	1316
112	167	1313
113	168	1307
114	169	1302
115	171	1303
116	171	1298
117	173	1295
118	174	1291
119	176	1291
120	177	1288
121	179	1293
122	181	1290
123	182	1289
124	183	1286
125	185	1285
126	186	1281
127	187	1274
128	188	1272
129	189	1270
130	191	1272
131	193	1270
132	194	1268
133	195	1265
134	197	1262
135	198	1259
136	200	1262
137	201	1260
138	203	1257
139	204	1257
140	205	1253
141	206	1249
142	207	1244
143	208	1240
144	209	1236
145	210	1233
146	211	1229
147	212	1225
148	214	1224
149	218	1237
150	219	1234
151	220	1232
152	222	1232
153	223	1230
154	225	1228
155	226	1223
156	227	1220
157	228	1216
158	229	1212
159	232	1218
160	236	1232
161	241	1251
162	243	1252
163	247	1263
164	251	1271
165	253	1272
166	256	1277
167	259	1285
168	261	1288
169	263	1284
170	265	1285
171	267	1286
